tournament_year,match_id,match_name,date,stage,team,opponent,goals_for,goals_against,match_result,completed_passes,unique_passing_pairs,num_players,network_density,top_player_reliance,top_connection_count,final_third_entries,progressive_passes,key_passes,goal_assists,through_balls,crosses,final_third_entry_share,final_third_entries_per_100_passes,connections_per_100_passes,passes_per_connection,advanced_from_group,reached_qf,stage_reached,most_involved_player,top_connection
2022,3857260,Saudi Arabia vs Mexico,2022-11-30,group,Saudi Arabia,Mexico,1,2,L,194,99,15,0.4714,0.1186,8,18,77,6,1,1,2,0.0928,9.28,51.03,1.96,0,0,Group Stage,Mohammed Kanoo,Amri → Ghannam
2022,3857260,Saudi Arabia vs Mexico,2022-11-30,group,Mexico,Saudi Arabia,2,1,W,367,110,15,0.5238,0.1528,16,37,126,14,1,1,3,0.1008,10.08,29.97,3.34,0,0,Group Stage,César Jasib Montes Castro,Herrera → Castro
2022,3857264,Poland vs Argentina,2022-11-30,group,Poland,Argentina,0,2,L,267,106,16,0.4417,0.1423,11,9,67,4,0,0,3,0.0337,3.37,39.7,2.52,1,0,Round of 16,Jakub Piotr Kiwior,Kiwior → Glik
2022,3857264,Poland vs Argentina,2022-11-30,group,Argentina,Poland,2,0,W,826,154,16,0.6417,0.1695,27,75,189,14,2,1,4,0.0908,9.08,18.64,5.36,1,1,Final,Rodrigo Javier De Paul,Lucero → Paul
2022,3857289,Argentina vs Mexico,2022-11-26,group,Argentina,Mexico,2,0,W,476,125,16,0.5208,0.1513,18,27,122,2,2,0,3,0.0567,5.67,26.26,3.81,1,1,Final,Nicolás Hernán Otamendi,Otamendi → Montiel
2022,3857289,Argentina vs Mexico,2022-11-26,group,Mexico,Argentina,0,2,L,304,99,15,0.4714,0.1612,19,17,78,2,0,0,4,0.0559,5.59,32.57,3.07,0,0,Group Stage,César Jasib Montes Castro,Razo → Castro
2022,3869254,Portugal vs Switzerland,2022-12-06,R16,Portugal,Switzerland,6,1,W,404,138,16,0.575,0.1324,13,20,104,7,5,2,3,0.0495,4.95,34.16,2.93,1,1,Quarter-final,William Silva de Carvalho,Carvalho → Ferreira
2022,3869254,Portugal vs Switzerland,2022-12-06,R16,Switzerland,Portugal,1,6,L,438,134,16,0.5583,0.1427,16,27,113,6,0,0,0,0.0616,6.16,30.59,3.27,1,0,Round of 16,Granit Xhaka,Fernandes → Shaqiri
2022,3869118,England vs Senegal,2022-12-04,R16,England,Senegal,3,0,W,536,129,16,0.5375,0.1521,22,37,140,5,2,0,4,0.069,6.9,24.07,4.16,1,1,Quarter-final,John Stones,Walker → Stones
2022,3869118,England vs Senegal,2022-12-04,R16,Senegal,England,0,3,L,323,119,16,0.4958,0.1455,10,16,90,6,0,0,3,0.0495,4.95,36.84,2.71,1,0,Round of 16,Nampalys Mendy,Jakobs → Sarr
2022,3869519,Argentina vs Croatia,2022-12-13,SF,Argentina,Croatia,3,0,W,358,121,16,0.5042,0.1187,11,22,79,6,1,2,1,0.0615,6.15,33.8,2.96,1,1,Final,Enzo Fernandez,Otamendi → Fernandez
2022,3869519,Argentina vs Croatia,2022-12-13,SF,Croatia,Argentina,0,3,L,559,140,16,0.5833,0.1512,22,38,135,10,0,0,3,0.068,6.8,25.04,3.99,1,1,3rd Place,Mateo Kovačić,Kovačić → Modrić
2022,3869354,England vs France,2022-12-10,QF,England,France,1,2,L,465,102,14,0.5604,0.1774,28,29,116,11,0,0,2,0.0624,6.24,21.94,4.56,1,1,Quarter-final,Harry Maguire,Maguire → Stones
2022,3869354,England vs France,2022-12-10,QF,France,England,2,1,W,328,87,11,0.7909,0.1176,13,36,87,6,2,0,6,0.1098,10.98,26.52,3.77,1,1,Final,Aurélien Djani Tchouaméni,Koundé → Dembélé
2022,3869552,France vs Morocco,2022-12-14,SF,France,Morocco,2,0,W,316,97,13,0.6218,0.1646,20,20,87,11,0,0,1,0.0633,6.33,30.7,3.26,1,1,Final,Raphaël Varane,Konaté → Varane
2022,3869552,France vs Morocco,2022-12-14,SF,Morocco,France,0,2,L,529,117,16,0.4875,0.1607,23,37,159,6,0,0,2,0.0699,6.99,22.12,4.52,1,1,3rd Place,Jawad El Yamiq,Ziyech → Mouh
2022,3869420,Croatia vs Brazil,2022-12-09,QF,Croatia,Brazil,1,1,D,639,121,15,0.5762,0.162,27,49,174,8,1,0,5,0.0767,7.67,18.94,5.28,1,1,3rd Place,Luka Modrić,Brozović → Modrić
2022,3869420,Croatia vs Brazil,2022-12-09,QF,Brazil,Croatia,1,1,D,652,129,16,0.5375,0.1388,27,57,173,14,1,1,5,0.0874,8.74,19.79,5.05,1,1,Quarter-final,Marcos Aoás Corrêa,Corrêa → Silva
2022,3869220,Morocco vs Spain,2022-12-06,R16,Morocco,Spain,0,0,D,250,101,16,0.4208,0.144,12,19,89,4,0,0,4,0.076,7.6,40.4,2.48,1,1,3rd Place,Azzedine Ounahi,Mouh → Ounahi
