match_id,team,player,total_passes_sent,total_passes_received,weighted_degree
3857260,Mexico,Kevin Nahin Álvarez Campos,3,3,6
3857260,Mexico,Orbelín Pineda Alvarado,20,31,51
3857260,Mexico,Ernesto Alexis Vega Rojas,10,14,24
3857260,Mexico,Rogelio Gabriel Funes Mori,0,1,1
3857260,Mexico,Raúl Alonso Jiménez Rodríguez,5,5,10
3857260,Saudi Arabia,Abdulelah Al Amri,24,19,43
3857260,Saudi Arabia,Abdulrahman Al-Obood,6,7,13
3857260,Saudi Arabia,Firas Tariq Nasser Al Albirakan,13,27,40
3857260,Saudi Arabia,Mohammed Kanoo,21,25,46
3857260,Saudi Arabia,Mohammed Khalil Al Owais,17,7,24
3857260,Saudi Arabia,Riyadh Sharahili,17,10,27
3857260,Saudi Arabia,Saleh Khalid Al Shehri,10,16,26
3857260,Saudi Arabia,Salem Mohammed Al Dawsari,15,22,37
3857260,Saudi Arabia,Saud Abdullah Abdul Hamid,14,11,25
3857260,Saudi Arabia,Sultan Abdullah Salim Al Ghannam,22,21,43
3857260,Saudi Arabia,Abdullah Mohammed Madu,4,5,9
3857260,Saudi Arabia,Hassan Mohammed Al-Tambakti,15,12,27
3857260,Saudi Arabia,Ali Al Hassan,4,5,9
3857260,Saudi Arabia,Ali Albulayhi,10,4,14
3857260,Saudi Arabia,Hattan Babhir,2,3,5
3857261,England,Callum Wilson,5,11,16
3857261,England,Harry Maguire,77,82,159
3857261,England,Jude Bellingham,47,48,95
3857261,England,Marcus Rashford,23,34,57
3857261,England,Phil Foden,27,34,61
3857261,England,Trent Alexander-Arnold,21,17,38
3857261,England,Declan Rice,45,36,81
3857261,England,Harry Kane,7,13,20
3857261,England,John Stones,75,72,147
3857261,England,Jordan Brian Henderson,50,52,102
3857261,England,Kyle Walker,50,40,90
3857261,England,Luke Shaw,51,51,102
3857261,England,Jack Grealish,14,14,28
3857261,England,Jordan Pickford,29,25,54
3857261,England,Kalvin Phillips,15,14,29
3857261,England,Kieran Trippier,17,10,27
3857261,Wales,Aaron Ramsey,24,24,48
3857261,Wales,Ben Davies,15,18,33
3857261,Wales,Brennan Johnson,2,5,7
3857261,Wales,Chris Mepham,48,42,90
3857261,Wales,Connor Roberts,27,25,52
3857261,Wales,Daniel James,10,11,21
3857261,Wales,Ethan Ampadu,27,23,50
3857261,Wales,Joe Allen,23,24,47
3857261,Wales,Joe Rodon,42,36,78
3857261,Wales,Kieffer Roberto Francisco Moore,11,23,34
3857261,Wales,Neco Williams,5,3,8
3857261,Wales,Daniel Ward,20,17,37
3857261,Wales,Joseff Morrell,11,9,20
3857261,Wales,Gareth Frank Bale,1,5,6
3857261,Wales,Harry Wilson,6,6,12
3857261,Wales,Rubin Colwill,2,3,5
3857262,Portugal,André Miguel Valente Silva,10,12,22
3857262,Portugal,João Maria Lobo Alves Palhinha Gonçalves,16,15,31
3857262,Portugal,João Mário Naval da Costa Eduardo,34,33,67
3857262,Portugal,João Pedro Cavaco Cancelo,77,66,143
3857262,Portugal,Kléper Laveran Lima Ferreira,67,61,128
3857262,Portugal,Rafael Alexandre Conceição Leão,7,13,20
3857262,Portugal,Ricardo Jorge Luz Horta,13,17,30
3857262,Portugal,Vitor Machado Ferreira,59,62,121
3857262,Portugal,António João Pereira Albuquerque Tavares Silva,57,50,107
3857262,Portugal,Diogo Meireles Costa,23,19,42
3857262,Portugal,José Diogo Dalot Teixeira,53,55,108
3857262,Portugal,Matheus Luiz Nunes,21,31,52
3857262,Portugal,Rúben Diogo Da Silva Neves,62,59,121
3857262,Portugal,Bernardo Mota Veiga de Carvalho e Silva,7,8,15
3857262,Portugal,William Silva de Carvalho,13,13,26
3857262,Portugal,Cristiano Ronaldo dos Santos Aveiro,15,20,35
3857262,South Korea,Gue-Sung Cho,13,26,39
3857262,South Korea,Hee-Chan Hwang,3,9,12
3857262,South Korea,Heung-Min Son,16,20,36
3857262,South Korea,In-Beom Hwang,33,37,70
3857262,South Korea,Jae-Sung Lee,12,11,23
3857262,South Korea,Jin-Su Kim,26,23,49
3857262,South Korea,Kang-In Lee,22,23,45
3857262,South Korea,Moon-Hwan Kim,31,24,55
3857262,South Korea,Woo-Young Jung,48,47,95
3857262,South Korea,Kyung-Won Kwon,32,28,60
3857262,South Korea,Jun-Ho Son,7,6,13
3857262,South Korea,Young-Gwon Kim,33,32,65
3857262,South Korea,Seung-Gyu Kim,31,21,52
3857262,South Korea,Ui-Jo Hwang,2,2,4
3857263,Germany,Antonio Rüdiger,41,40,81
3857263,Germany,David Raum,33,31,64
3857263,Germany,Jamal Musiala,17,30,47
3857263,Germany,Jonas Hofmann,1,1,2
3857263,Germany,Joshua Kimmich,30,22,52
3857263,Germany,Manuel Neuer,32,29,61
3857263,Germany,Niklas Süle,41,34,75
3857263,Germany,Thilo Kehrer,21,20,41
3857263,Germany,Leon Goretzka,19,16,35
3857263,Germany,Niclas Füllkrug,5,8,13
3857263,Germany,Serge Gnabry,12,20,32
3857263,Germany,Thomas Müller,8,12,20
3857263,Germany,İlkay Gündoğan,13,12,25
3857263,Germany,Leroy Sané,7,10,17
3857263,Germany,Nico Schlotterbeck,3,3,6
3857263,Germany,Lukas Klostermann,8,3,11
3857263,Spain,Alejandro Balde Martínez,8,8,16
3857263,Spain,Aymeric Laporte,89,84,173
3857263,Spain,Daniel Olmo Carvajal,33,47,80
3857263,Spain,Pedro González López,59,58,117
3857263,Spain,Rodrigo Hernández Cascante,95,87,182
3857263,Spain,Daniel Carvajal Ramos,65,48,113
3857263,Spain,Ferrán Torres García,11,28,39
3857263,Spain,Jordi Alba Ramos,71,63,134
3857263,Spain,Jorge Resurrección Merodio,8,11,19
3857263,Spain,Marco Asensio Willemsen,29,36,65
3857263,Spain,Pablo Martín Páez Gavira,10,12,22
3857263,Spain,Sergio Busquets i Burgos,41,29,70
3857263,Spain,Unai Simón Mendibil,47,41,88
3857263,Spain,Nicholas Williams Arthuer,8,14,22
3857263,Spain,Álvaro Borja Morata Martín,4,12,16
3857264,Argentina,Alexis Mac Allister,50,51,101
3857264,Argentina,Enzo Fernandez,86,85,171
3857264,Argentina,Julián Álvarez,20,25,45
3857264,Argentina,Leandro Daniel Paredes,77,73,150
3857264,Argentina,Lionel Andrés Messi Cuccittini,59,76,135
3857264,Argentina,Marcos Javier Acuña,35,33,68
3857264,Argentina,Nahuel Molina Lucero,71,64,135
3857264,Argentina,Nicolás Alejandro Tagliafico,38,35,73
3857264,Argentina,Nicolás Hernán Otamendi,89,85,174
3857264,Argentina,Rodrigo Javier De Paul,142,138,280
3857264,Argentina,Ángel Fabián Di María Hernández,40,51,91
3857264,Argentina,Cristian Gabriel Romero,67,63,130
3857264,Argentina,Damián Emiliano Martínez,12,7,19
3857264,Argentina,Germán Alejandro Pezzella,18,16,34
3857264,Argentina,Lautaro Javier Martínez,10,11,21
3857264,Argentina,Thiago Ezequiel Almada,12,13,25
3857264,Poland,Artur Jędrzejczyk,4,3,7
3857264,Poland,Damian Szymański,9,8,17
3857264,Poland,Jakub Piotr Kiwior,38,38,76
3857264,Poland,Robert Lewandowski,12,21,33
3857264,Poland,Bartosz Bereszyński,26,18,44
3857264,Poland,Jakub Kamiński,4,8,12
3857264,Poland,Karol Świderski,7,5,12
3857264,Poland,Krystian Bielik,24,29,53
3857264,Poland,Piotr Zieliński,27,21,48
3857264,Poland,Przemysław Frankowski,8,13,21
3857264,Poland,Wojciech Szczęsny,20,16,36
3857264,Poland,Grzegorz Krychowiak,20,19,39
3857264,Poland,Kamil Glik,32,32,64
3857264,Poland,Matty Cash,27,26,53
3857264,Poland,Michał Skóraś,8,9,17
3857264,Poland,Krzysztof Piątek,1,1,2
3857265,Mexico,Carlos Alberto Rodríguez Gómez,17,19,36
3857265,Mexico,Carlos Uriel Antuna Romero,2,6,8
3857265,Mexico,César Jasib Montes Castro,57,57,114
3857265,Mexico,Edson Omar Álvarez Velázquez,44,42,86
3857265,Mexico,Ernesto Alexis Vega Rojas,25,33,58
3857265,Mexico,Hirving Rodrigo Lozano Bahena,19,31,50
3857265,Mexico,Héctor Alfredo Moreno Herrera,73,73,146
3857265,Mexico,Jesús Daniel Gallardo Vasconcelos,40,33,73
3857265,Mexico,Jorge Eduardo Sánchez Ramos,43,31,74
3857265,Mexico,Luis Gerardo Chávez Magallón,45,48,93
3857265,Mexico,Raúl Alonso Jiménez Rodríguez,6,9,15
3857265,Mexico,Francisco Guillermo Ochoa Magaña,32,16,48
3857265,Mexico,Héctor Miguel Herrera López,26,25,51
3857265,Mexico,Henry Josué Martín Mex,8,14,22
3857265,Poland,Arkadiusz Milik,4,6,10
3857265,Poland,Matty Cash,27,23,50
3857265,Poland,Robert Lewandowski,13,33,46
3857265,Poland,Bartosz Bereszyński,30,17,47
3857265,Poland,Grzegorz Krychowiak,19,18,37
3857265,Poland,Jakub Piotr Kiwior,34,33,67
3857265,Poland,Krystian Bielik,18,15,33
3857265,Poland,Nicola Zalewski,12,13,25
3857265,Poland,Piotr Zieliński,21,20,41
3857265,Poland,Przemysław Frankowski,7,6,13
3857265,Poland,Sebastian Szymański,16,25,41
3857265,Poland,Wojciech Szczęsny,24,12,36
3857265,Poland,Jakub Kamiński,9,14,23
3857265,Poland,Kamil Glik,25,24,49
3857266,Denmark,Alexander Hartmann Bah,4,4,8
3857266,Denmark,Christian Dannemann Eriksen,58,55,113
3857266,Denmark,Christian Nørgaard,14,13,27
3857266,Denmark,Victor Nelsson,68,55,123
3857266,Denmark,Andreas Christensen,69,67,136
3857266,Denmark,Joachim Andersen,42,41,83
