match_id,match_name,date,stage,team,opponent,goals_for,goals_against,match_result,completed_passes,unique_passing_pairs,num_players,network_density,most_involved_player,top_player_reliance,top_connection,top_connection_count,final_third_entries,advanced_from_group,reached_qf,stage_reached
3869321,Netherlands vs Argentina,2022-12-09,QF,Argentina,Netherlands,2,2,D,531,147,17,0.5404,Nicolás Hernán Otamendi,0.1365,Otamendi → Romero,19,21,1,1,Final
3857292,Costa Rica vs Germany,2022-12-01,group,Costa Rica,Germany,2,4,L,284,110,16,0.4583,Joel Nathaniel Campbell Samuels,0.2095,Mora → Samuels,11,13,0,0,Group Stage
3857292,Costa Rica vs Germany,2022-12-01,group,Germany,Costa Rica,4,2,W,669,146,16,0.6083,Joshua Kimmich,0.1689,Kimmich → Süle,28,79,0,0,Group Stage
3857295,Japan vs Costa Rica,2022-11-27,group,Japan,Costa Rica,0,1,L,527,117,16,0.4875,Maya Yoshida,0.2049,Itakura → Yoshida,29,49,1,0,Round of 16
3857295,Japan vs Costa Rica,2022-11-27,group,Costa Rica,Japan,1,0,W,374,98,14,0.5385,Francisco Javier Calvo Quesada,0.1684,Quesada → Manley,16,12,0,0,Group Stage
3869685,Argentina vs France,2022-12-18,Final,Argentina,France,3,3,D,560,129,17,0.4743,Enzo Fernandez,0.1455,Otamendi → Romero,18,36,1,1,Final
3869685,Argentina vs France,2022-12-18,Final,France,Argentina,3,3,D,434,143,17,0.5257,Raphaël Varane,0.1221,Varane → Upamecano,16,34,1,1,Final
3869684,Croatia vs Morocco,2022-12-17,3rd Place Final,Croatia,Morocco,2,1,W,439,112,14,0.6154,Mateo Kovačić,0.1435,Šutalo → Gvardiol,16,36,1,1,3rd Place
3869684,Croatia vs Morocco,2022-12-17,3rd Place Final,Morocco,Croatia,1,2,L,431,144,16,0.6,Achraf Hakimi Mouh,0.1346,Mouh → Ziyech,21,27,1,1,3rd Place
3857256,Serbia vs Switzerland,2022-12-02,group,Serbia,Switzerland,2,3,L,407,125,16,0.5208,Strahinja Pavlović,0.1609,Milenković → Lukić,17,35,0,0,Group Stage
