tournament_year,match_id,match_name,date,stage,team,opponent,goals_for,goals_against,match_result,completed_passes,unique_passing_pairs,num_players,network_density,top_player_reliance,top_connection_count,final_third_entries,progressive_passes,key_passes,goal_assists,through_balls,crosses,final_third_entry_share,final_third_entries_per_100_passes,connections_per_100_passes,passes_per_connection
2018,7534,Germany vs Mexico,2018-06-17,group,Germany,Mexico,0,1,L,521,113,14,0.6209,0.1363,23,70,177,18,0,0,7,0.1344,13.44,21.69,4.61
2018,7534,Germany vs Mexico,2018-06-17,group,Mexico,Germany,1,0,W,247,99,14,0.544,0.1417,8,24,93,10,1,2,1,0.0972,9.72,40.08,2.49
2018,7543,Iran vs Spain,2018-06-20,group,Iran,Spain,0,1,L,158,84,13,0.5385,0.1111,6,17,54,3,0,0,3,0.1076,10.76,53.16,1.88
2018,7543,Iran vs Spain,2018-06-20,group,Spain,Iran,1,0,W,719,118,14,0.6484,0.1474,23,45,177,11,0,1,8,0.0626,6.26,16.41,6.09
2018,7544,Uruguay vs Saudi Arabia,2018-06-20,group,Uruguay,Saudi Arabia,1,0,W,429,116,14,0.6374,0.1538,17,40,109,10,1,0,7,0.0932,9.32,27.04,3.7
2018,7544,Uruguay vs Saudi Arabia,2018-06-20,group,Saudi Arabia,Uruguay,0,1,L,499,115,14,0.6319,0.1533,18,37,106,7,0,0,3,0.0741,7.41,23.05,4.34
2018,7546,France vs Peru,2018-06-21,group,France,Peru,1,0,W,332,91,13,0.5833,0.1431,14,32,101,8,0,1,0,0.0964,9.64,27.41,3.65
2018,7546,France vs Peru,2018-06-21,group,Peru,France,0,1,L,436,110,14,0.6044,0.1193,16,37,114,11,0,0,4,0.0849,8.49,25.23,3.96
2018,7545,Argentina vs Croatia,2018-06-21,group,Argentina,Croatia,0,3,L,413,115,14,0.6319,0.1622,21,34,79,8,0,3,3,0.0823,8.23,27.85,3.59
2018,7545,Argentina vs Croatia,2018-06-21,group,Croatia,Argentina,3,0,W,274,88,14,0.4835,0.1642,12,22,89,8,2,0,4,0.0803,8.03,32.12,3.11
2018,7585,Colombia vs England,2018-07-03,R16,Colombia,England,1,1,D,429,125,15,0.5952,0.1177,21,25,141,11,1,0,4,0.0583,5.83,29.14,3.43
