match_id,year,team,total_players,eligible_players,targeted_player,targeted_efficiency_damage,targeted_progressive_capacity_damage,targeted_pass_involvement,targeted_betweenness,targeted_pass_involvement_rank,eligible_efficiency_damage_mean,eligible_efficiency_damage_std,eligible_progressive_damage_mean,targeted_excess_efficiency_damage,targeted_standardized_gap,targeted_to_random_ratio,targeted_damage_percentile,top1_top2_gap
7543,2018,Spain,14,13,Gerard Piqué Bernabéu,0.0215852795470631,0.1525423728813559,115,0.0798076923076923,8,0.004055746093962716,0.014844886304695618,0.15341156019122118,0.017529533453100384,1.1808465954741316,5.3221476510066585,100.0,1.97758476261356e-16
7544,2018,Saudi Arabia,14,14,Abdullah Ibrahim Otayf,0.0156249999999999,0.1886792452830188,153,0.0012820512820512,1,-7.434529182757744e-19,0.013461299982625031,0.14285714285714282,0.0156249999999999,1.1607348488012028,,100.0,0.0
7544,2018,Uruguay,14,14,Edinson Roberto Cavani Gómez,0.0241090146750524,0.1376146788990825,46,0.267094017094017,8,6.938893903907228e-18,0.016507354033567727,0.14285714285714282,0.024109014675052394,1.4605014605021907,,100.0,0.007337526205450702
7545,2018,Argentina,14,14,Javier Alejandro Mascherano,0.0241090146750524,0.2278481012658227,94,0.1152777777777777,3,0.0,0.01673869960447725,0.14285714285714282,0.0241090146750524,1.4403158694958447,,100.0,0.0
7545,2018,Croatia,14,13,Danijel Subašić,0.0914221218961629,0.1235955056179775,34,0.1207264957264957,9,0.011605024020374515,0.030632032690872387,0.1538461538461538,0.07981709787578839,2.6056742195751172,7.8778054862839095,100.0,0.0605718585402556
7546,2018,France,13,13,Olivier Giroud,0.0330578512396693,0.2178217821782178,43,0.2323232323232323,9,-5.4443629092195174e-17,0.02203856749311287,0.15384615384615383,0.03305785123966935,1.5000000000000022,,100.0,0.008953168044077097
7546,2018,Peru,14,13,Édison Michael Flores Peralta,0.0277777777777779,0.1578947368421052,89,0.2494200244200243,4,0.004489884236719708,0.015006315107977985,0.15317139001349525,0.023287893541058195,1.5518728864141589,6.186746987951796,100.0,0.009845288326301101
7547,2018,Australia,14,14,Mathew Leckie,0.0265392781316348,0.2167832167832167,62,0.2243589743589743,7,6.39369509717166e-17,0.020584627844655302,0.14285714285714282,0.026539278131634737,1.2892765578234893,,100.0,0.007430997876857699
7547,2018,Denmark,13,13,Christian Dannemann Eriksen,0.0195286195286195,0.1293103448275862,69,0.1928030303030302,7,2.215108438555e-17,0.0161616161616161,0.1538461538461538,0.01952861952861948,1.2083333333333348,,100.0,0.0
7548,2018,Brazil,14,14,Carlos Henrique Casimiro,0.0229166666666667,0.2270531400966183,163,0.0388888888888888,2,-1.338215252896394e-17,0.01761618179717471,0.14285714285714282,0.022916666666666714,1.3008872711759876,,100.0,0.0072916666666668
7548,2018,Costa Rica,14,13,Bryan Ruiz González,0.0313455657492359,0.1944444444444444,56,0.0362332112332112,1,0.00396965419901223,0.020000872718999415,0.15277777777777776,0.02737591155022367,1.3687358514220478,7.896296296295941,100.0,0.0053516819571868025
7549,2018,Iceland,14,14,Gylfi Þór Sigurðsson,0.02906548933039,0.2439024390243902,72,0.026098901098901,1,0.00018395879323039325,0.015148423014010403,0.14285714285714282,0.028881530537159607,1.9065701103308108,157.99999999993403,100.0,0.0103016924208977
7549,2018,Nigeria,14,14,Onyinye Wilfred Ndidi,0.0256688358640639,0.2520325203252032,124,0.0058760683760683,1,0.00018076644974712185,0.019355520652900332,0.14285714285714282,0.02548806941431678,1.316837189316192,141.99999999984843,100.0,0.010122921185828
7550,2018,Serbia,13,12,Nemanja Matić,0.0322793148880106,0.1894736842105263,53,0.1467171717171717,4,0.005873956960913473,0.012826010640258468,0.16578947368421046,0.026405357927097126,2.05873507107624,5.495327102803757,100.0,0.0171277997364955
7550,2018,Switzerland,13,13,Granit Xhaka,0.0252156602521565,0.2790697674418604,149,0.0934343434343434,1,-3.0290940695902706e-17,0.01773110712128378,0.1538461538461538,0.025215660252156533,1.4221142582737298,,100.0,0.008626410086264101
7551,2018,Germany,14,14,Joshua Kimmich,0.0217391304347825,0.28,141,0.083511396011396,4,-7.88060093372321e-17,0.019366756660320582,0.14285714285714285,0.02173913043478258,1.1224972160321824,,100.0,0.0
7551,2018,Sweden,14,11,Mikael Lustig,0.0412808641975308,0.2388059701492537,34,0.3143772893772893,4,0.011083052749719392,0.016072981358491903,0.1709633649932157,0.030197811447811404,1.878793409528648,3.7246835443037996,100.0,0.0027006172839505946
7552,2018,Belgium,14,13,Thomas Meunier,0.022855133614627,0.2733812949640288,78,0.20254884004884,3,0.00411121930109273,0.011566338899178664,0.15273934698395128,0.01874391431353427,1.6205572460673179,5.559210526315705,100.0,0.0049226441631501985
7552,2018,Tunisia,14,14,Anice Badri,0.0229166666666667,0.224,64,0.0452991452991453,6,-7.93016446160826e-18,0.015059200307084302,0.14285714285714285,0.022916666666666707,1.52177182050537,,100.0,0.0072916666666668
7553,2018,Mexico,14,14,Carlos Joel Salcedo Hernández,0.0252525252525252,0.134453781512605,118,0.1367521367521367,1,0.00018037518037517905,0.018787614180336018,0.1428571428571428,0.02507215007215002,1.3345042021563167,140.00000000000074,100.0,0.0025252525252525
7553,2018,South Korea,14,14,Young-Gwon Kim,0.0294540229885057,0.2159090909090909,50,0.138034188034188,6,0.0005387931034482517,0.019423970881817007,0.14285714285714285,0.028915229885057448,1.488636389592476,54.66666666666904,100.0,0.007543103448276099
7554,2018,England,14,14,Harry Maguire,0.0227272727272727,0.1858407079646017,144,0.0645299145299145,3,-1.338215252896394e-17,0.018556740475630065,0.14285714285714282,0.022727272727272714,1.2247448713915932,,100.0,0.0
7554,2018,Panama,14,14,Armando Enrique Cooper Whitaker,0.0206995003568881,0.2621359223300971,80,0.0696581196581196,2,1.3530843112619095e-16,0.017851533191148874,0.14285714285714282,0.020699500356887966,1.1595362782145326,,100.0,0.007494646680942201
7555,2018,Colombia,14,14,James David Rodríguez Rubio,0.0229166666666667,0.3,122,0.0829059829059829,1,-2.800339325505417e-17,0.01627135349147219,0.14285714285714282,0.022916666666666727,1.4084056792618598,,100.0,0.0
7555,2018,Poland,14,14,Robert Lewandowski,0.0277777777777776,0.3009708737864077,68,0.164545177045177,5,-5.699805706780937e-17,0.01819378885248542,0.14285714285714282,0.027777777777777655,1.5267725707382265,,100.0,0.0074786324786324
7556,2018,Japan,14,13,Gaku Shibasaki,0.0256410256410259,0.175,71,0.0890491452991452,4,0.00512820512820531,0.013455666982888042,0.15256410256410252,0.02051282051282059,1.5244744492344624,4.999999999999873,100.0,0.0
7556,2018,Senegal,14,13,Moussa Wagué,0.0244252873563217,0.2272727272727272,76,0.0897435897435897,1,0.004503757736516416,0.015229347678515276,0.15209790209790205,0.019921529619805284,1.3081013081019537,5.423312883435481,100.0,0.0025143678160918018
7557,2018,Iran,14,11,Sardar Azmoun,0.0345765345765351,0.2580645161290322,30,0.191590354090354,3,0.01356219538037761,0.013577270823510868,0.17595307917888559,0.021014339196157493,1.5477587115496247,2.549479166666628,100.0,0.008158508158508302
7557,2018,Portugal,14,13,José Miguel da Rocha Fonte,0.1093750000000002,0.1478873239436619,123,0.0878357753357753,3,0.01161858974359006,0.03388674752210011,0.15330444203683635,0.09775641025641013,2.8847976688425407,9.413793103448036,100.0,0.08072916666666649
7558,2018,Russia,14,14,Artem Dzyuba,0.0253164556962025,0.3061224489795918,53,0.1456196581196581,5,2.7755575615628914e-17,0.015716945596784083,0.14285714285714282,0.025316455696202472,1.6107745325136578,,100.0,0.0
7558,2018,Uruguay,14,13,Lucas Torreira Di Pascua,0.0290827740492173,0.1824324324324324,101,0.031517094017094,4,0.0051913038490222305,0.014687705857535012,0.1533264033264033,0.023891470200195067,1.6266304916460719,5.602209944751157,100.0,0.0052199850857567
7559,2018,Egypt,14,14,Mohamed Naser Elsayed Elneny,0.0341321713870734,0.1111111111111111,75,0.1123931623931623,2,0.00018155410312273648,0.01896262860899998,0.14285714285714282,0.03395061728395066,1.790396151503865,187.99999999999415,100.0,0.010167029774872997
7559,2018,Saudi Arabia,13,12,Salman Mohammed Al Faraj,0.0445499773857984,0.3525179856115107,181,0.0707070707070707,2,0.006086989295944443,0.017203264603707965,0.16486810551558748,0.038462988089853954,2.2357958780430374,7.318885448916521,100.0,0.0235187697874268
7560,2018,Morocco,14,13,Fayçal Fajr,0.0764966740576499,0.0384615384615384,15,0.1714641839641839,12,0.011626584797316755,0.02399930621453564,0.1538461538461538,0.06487008926033315,2.7029985233924525,6.579462102689365,100.0,0.056910569105690895
7560,2018,Spain,14,14,Sergio Busquets i Burgos,0.0265392781316348,0.0994152046783625,104,0.1024572649572649,8,6.418476861114186e-17,0.01701827976845157,0.14285714285714282,0.026539278131634737,1.5594571538795103,,100.0,0.007430997876857699
7561,2018,Croatia,14,13,Milan Badelj,0.0290654893303901,0.2396694214876033,120,0.2154914529914529,2,0.004301805626308999,0.01700974874462665,0.15384615384615383,0.0247636837040811,1.4558524100424415,6.756578947368349,100.0,1.0061396160665481e-16
