match_id,team,player,passes_sent,passes_received,weighted_in_degree,weighted_out_degree,total_weighted_degree,betweenness_centrality,unique_passing_partners,progressive_passes_sent,progressive_passes_received
3857259,Cameroon,Jean-Eric Maxim Choupo-Moting,19,20,20,19,39,0.07279478458049887,13,4,17
3857259,Cameroon,Pierre Kunde Malong,17,21,21,17,38,0.09325396825396824,10,4,3
3857259,Cameroon,André-Frank Zambo Anguissa,20,17,17,20,37,0.22623015873015878,12,4,5
3857259,Cameroon,Nicolas Alexis Julio N'Koulou Ndoubena,27,28,28,27,55,0.13310090702947844,11,8,3
3857259,Cameroon,Nouhou Tolo,25,24,24,25,49,0.10232426303854876,13,7,8
3857259,Cameroon,Karl Brillant Toko Ekambi,7,9,9,7,16,0.06315759637188209,7,2,4
3857259,Cameroon,Bryan Mbeumo,13,23,23,13,36,0.026111111111111113,11,3,15
3857259,Cameroon,Vincent Paté Aboubakar,7,9,9,7,16,0.13023809523809526,9,1,6
3857259,Cameroon,Christian Mougang Bassogog,5,10,10,5,15,0.041428571428571426,7,1,7
3857259,Cameroon,Gaël Ondoua,10,6,6,10,16,0.09199546485260772,8,2,0
3857259,Cameroon,Georges-Kévin Nkoudou Mbida,6,6,6,6,12,0.010873015873015873,5,0,4
3857259,Cameroon,Samuel Yves Oum Gwet,4,4,4,4,8,0.0035714285714285718,5,3,0
3857260,Mexico,Henry Josué Martín Mex,7,14,14,7,21,0.12182539682539684,9,0,8
3857260,Mexico,Luis Gerardo Chávez Magallón,38,40,40,38,78,0.10365079365079366,14,14,5
3857260,Mexico,Jorge Eduardo Sánchez Ramos,29,23,23,29,52,0.09198412698412699,9,12,14
3857260,Mexico,César Jasib Montes Castro,57,55,55,57,112,0.0815873015873016,12,21,6
3857260,Mexico,Francisco Guillermo Ochoa Magaña,38,21,21,38,59,0.0,7,26,0
3857260,Mexico,Héctor Alfredo Moreno Herrera,55,42,42,55,97,0.061984126984126996,12,19,8
3857260,Mexico,Edson Omar Álvarez Velázquez,41,35,35,41,76,0.1096031746031746,11,7,8
3857260,Mexico,Orbelín Pineda Alvarado,20,31,31,20,51,0.040396825396825396,9,7,10
3857260,Mexico,Hirving Rodrigo Lozano Bahena,19,38,38,19,57,0.2704761904761904,14,8,28
3857260,Mexico,Jesús Daniel Gallardo Vasconcelos,38,28,28,38,66,0.033730158730158735,11,8,15
3857260,Mexico,Ernesto Alexis Vega Rojas,10,14,14,10,24,0.05055555555555556,7,1,9
3857260,Mexico,Carlos Uriel Antuna Romero,4,9,9,4,13,0.014285714285714287,6,0,7
3857260,Mexico,Raúl Alonso Jiménez Rodríguez,5,5,5,5,10,0.05761904761904763,5,1,3
3857260,Mexico,Carlos Alberto Rodríguez Gómez,3,8,8,3,11,0.17698412698412702,7,0,4
3857260,Mexico,Kevin Nahin Álvarez Campos,3,3,3,3,6,0.017063492063492065,4,2,1
3857260,Mexico,Rogelio Gabriel Funes Mori,0,1,1,0,1,0.0,1,0,0
3857260,Saudi Arabia,Mohammed Khalil Al Owais,17,7,7,17,24,0.04048927263212978,8,12,0
3857260,Saudi Arabia,Abdulelah Al Amri,24,19,19,24,43,0.1626504447933019,12,18,2
3857260,Saudi Arabia,Saleh Khalid Al Shehri,10,16,16,10,26,0.0032051282051282055,8,1,8
3857260,Saudi Arabia,Saud Abdullah Abdul Hamid,14,11,11,14,25,0.10807169021454736,11,6,3
3857260,Saudi Arabia,Salem Mohammed Al Dawsari,15,22,22,15,37,0.18197278911564624,11,4,12
3857260,Saudi Arabia,Ali Albulayhi,10,4,4,10,14,0.06007326007326008,6,4,2
3857260,Saudi Arabia,Ali Al Hassan,4,5,5,4,9,0.04441391941391941,7,1,1
3857260,Saudi Arabia,Sultan Abdullah Salim Al Ghannam,22,21,21,22,43,0.0029304029304029304,9,11,10
3857260,Saudi Arabia,Firas Tariq Nasser Al Albirakan,13,27,27,13,40,0.03479853479853481,11,3,19
3857260,Saudi Arabia,Mohammed Kanoo,21,25,25,21,46,0.06834118262689692,12,6,12
3857260,Saudi Arabia,Hassan Mohammed Al-Tambakti,15,12,12,15,27,0.019688644688644688,9,5,2
3857260,Saudi Arabia,Riyadh Sharahili,17,10,10,17,27,0.0805860805860806,10,3,0
3857260,Saudi Arabia,Abdullah Mohammed Madu,4,5,5,4,9,0.10741758241758241,6,2,0
3857260,Saudi Arabia,Abdulrahman Al-Obood,6,7,7,6,13,0.04285714285714286,5,1,5
3857260,Saudi Arabia,Hattan Babhir,2,3,3,2,5,0.006868131868131869,3,0,1
3857261,Wales,Aaron Ramsey,24,24,24,24,48,0.08541950113378685,12,2,7
3857261,Wales,Ben Davies,15,18,18,15,33,0.11047619047619046,9,5,2
3857261,Wales,Joe Rodon,42,36,36,42,78,0.02521541950113379,12,10,1
3857261,Wales,Ethan Ampadu,27,23,23,27,50,0.062369614512471666,12,6,5
3857261,Wales,Chris Mepham,48,42,42,48,90,0.08608843537414966,15,20,0
3857261,Wales,Daniel Ward,20,17,17,20,37,0.1279875283446712,10,13,0
3857261,Wales,Neco Williams,5,3,3,5,8,0.03164965986394558,6,1,2
3857261,Wales,Gareth Frank Bale,1,5,5,1,6,0.010204081632653062,5,0,2
3857261,Wales,Joe Allen,23,24,24,23,47,0.030975056689342403,11,2,9
3857261,Wales,Kieffer Roberto Francisco Moore,11,23,23,11,34,0.10280045351473922,12,0,18
3857261,Wales,Daniel James,10,11,11,10,21,0.043633786848072564,8,0,9
3857261,Wales,Connor Roberts,27,25,25,27,52,0.0957482993197279,12,7,5
3857261,Wales,Brennan Johnson,2,5,5,2,7,0.05738095238095239,5,1,3
3857261,Wales,Joseff Morrell,11,9,9,11,20,0.10653061224489795,9,2,1
3857261,Wales,Harry Wilson,6,6,6,6,12,0.0561904761904762,6,1,5
3857261,Wales,Rubin Colwill,2,3,3,2,5,0.03361678004535148,4,0,1
3857261,England,Jordan Brian Henderson,50,52,52,50,102,0.08619047619047619,15,8,15
3857261,England,Jude Bellingham,47,48,48,47,95,0.10196145124716553,14,6,10
3857261,England,Harry Kane,7,13,13,7,20,0.04460317460317462,7,3,8
3857261,England,John Stones,75,72,72,75,147,0.050079365079365085,13,24,4
3857261,England,Phil Foden,27,34,34,27,61,0.1848979591836735,11,3,19
3857261,England,Kyle Walker,50,40,40,50,90,0.04404761904761906,10,10,9
3857261,England,Harry Maguire,77,82,82,77,159,0.01277777777777778,13,28,3
3857261,England,Marcus Rashford,23,34,34,23,57,0.09464852607709752,11,1,19
3857261,England,Declan Rice,45,36,36,45,81,0.014285714285714287,9,10,4
3857261,England,Jordan Pickford,29,25,25,29,54,0.011904761904761906,7,8,0
3857261,England,Luke Shaw,51,51,51,51,102,0.07039682539682539,9,15,18
3857261,England,Trent Alexander-Arnold,21,17,17,21,38,0.07412698412698414,8,7,2
3857261,England,Callum Wilson,5,11,11,5,16,0.14675736961451247,9,1,8
3857261,England,Kieran Trippier,17,10,10,17,27,0.0526984126984127,7,2,1
3857261,England,Kalvin Phillips,15,14,14,15,29,0.10634920634920637,9,3,2
3857261,England,Jack Grealish,14,14,14,14,28,0.053537414965986393,8,0,7
3857262,South Korea,Gue-Sung Cho,13,26,26,13,39,0.06425518925518925,10,3,18
3857262,South Korea,Woo-Young Jung,48,47,47,48,95,0.005723443223443223,12,15,8
3857262,South Korea,Young-Gwon Kim,33,32,32,33,65,0.006944444444444444,10,16,3
3857262,South Korea,Jin-Su Kim,26,23,23,26,49,0.05662393162393162,11,6,10
3857262,South Korea,Heung-Min Son,16,20,20,16,36,0.2179181929181929,11,1,13
3857262,South Korea,Kang-In Lee,22,23,23,22,45,0.1733745421245421,10,7,6
3857262,South Korea,In-Beom Hwang,33,37,37,33,70,0.052350427350427345,12,7,8
3857262,South Korea,Kyung-Won Kwon,32,28,28,32,60,0.05525030525030525,9,9,1
3857262,South Korea,Moon-Hwan Kim,31,24,24,31,55,0.04418498168498168,11,9,9
3857262,South Korea,Seung-Gyu Kim,31,21,21,31,52,0.0,7,14,0
3857262,South Korea,Jae-Sung Lee,12,11,11,12,23,0.1432081807081807,7,2,6
3857262,South Korea,Hee-Chan Hwang,3,9,9,3,12,0.09641330891330889,9,0,4
