match_id,team,num_players,num_edges,network_density,total_completed_passes,unique_passing_connections
3857292,Costa Rica,16,110,0.4583333333333333,284,110
3857293,Uruguay,16,126,0.525,364,126
3857293,Ghana,16,111,0.4625,384,111
3857294,Netherlands,16,141,0.5875,747,141
3857294,Qatar,16,124,0.5166666666666667,396,124
3857295,Costa Rica,14,98,0.5384615384615384,374,98
3857295,Japan,16,117,0.4875,527,117
3857296,Croatia,14,108,0.5934065934065934,514,108
3857296,Belgium,16,140,0.5833333333333334,543,140
3857297,Poland,13,101,0.6474358974358975,259,101
3857297,Saudi Arabia,16,134,0.5583333333333333,489,134
3857298,Portugal,16,131,0.5458333333333333,576,131
3857298,Ghana,16,114,0.475,336,114
3857299,South Korea,15,119,0.5666666666666667,499,119
3857299,Ghana,15,87,0.4142857142857143,266,87
3857300,Saudi Arabia,15,89,0.4238095238095238,197,89
3857300,Argentina,15,124,0.5904761904761905,542,124
3857301,Qatar,15,120,0.5714285714285714,362,120
3857301,Senegal,16,120,0.5,462,120
3869117,Netherlands,15,111,0.5285714285714286,332,111
3869117,United States,16,134,0.5583333333333333,499,134
3869118,Senegal,16,119,0.49583333333333335,323,119
3869118,England,16,129,0.5375,536,129
3869151,Australia,16,115,0.4791666666666667,384,115
3869151,Argentina,16,133,0.5541666666666667,646,133
3869152,France,15,123,0.5857142857142857,505,123
3869152,Poland,16,111,0.4625,406,111
3869219,Croatia,17,136,0.5,657,136
3869219,Japan,16,131,0.5458333333333333,436,131
3869220,Spain,17,142,0.5220588235294118,960,142
3869220,Morocco,16,101,0.42083333333333334,250,101
3869253,South Korea,15,142,0.6761904761904762,476,142
3869253,Brazil,16,129,0.5375,566,129
3869254,Switzerland,16,134,0.5583333333333333,438,134
3869254,Portugal,16,138,0.575,404,138
3869321,Netherlands,16,144,0.6,572,144
3869321,Argentina,17,147,0.5404411764705882,531,147
3869354,France,12,87,0.6590909090909091,328,87
3869354,England,14,102,0.5604395604395604,465,102
3869420,Croatia,15,121,0.5761904761904761,639,121
3869420,Brazil,16,129,0.5375,652,129
3869486,Portugal,16,128,0.5333333333333333,616,128
3869486,Morocco,14,85,0.46703296703296704,184,85
3869519,Croatia,16,140,0.5833333333333334,559,140
3869519,Argentina,16,121,0.5041666666666667,358,121
3869552,Morocco,16,117,0.4875,529,117
3869552,France,13,97,0.6217948717948718,316,97
3869684,Croatia,14,112,0.6153846153846154,439,112
3869684,Morocco,16,144,0.6,431,144
3869685,France,17,143,0.5257352941176471,434,143
3869685,Argentina,17,129,0.4742647058823529,560,129
7525,Saudi Arabia,14,97,0.532967032967033,458,97
7525,Russia,14,114,0.6263736263736264,272,114
7529,Nigeria,13,94,0.6025641025641025,319,94
7529,Croatia,14,113,0.6208791208791209,389,113
7530,Australia,14,86,0.4725274725274725,342,86
7530,France,14,114,0.6263736263736264,445,114
7531,Iceland,14,87,0.47802197802197804,137,87
7531,Argentina,14,125,0.6868131868131868,694,125
7532,Denmark,14,99,0.5439560439560439,302,99
7532,Peru,14,100,0.5494505494505495,347,100
7533,Brazil,14,119,0.6538461538461539,473,119
7533,Switzerland,13,89,0.5705128205128205,363,89
7534,Mexico,14,99,0.5439560439560439,247,99
7534,Germany,14,113,0.6208791208791209,521,113
7535,Serbia,14,88,0.4835164835164835,335,88
7535,Costa Rica,14,117,0.6428571428571429,376,117
7536,Panama,14,98,0.5384615384615384,284,98
7536,Belgium,14,109,0.5989010989010989,513,109
7537,England,13,114,0.7307692307692307,484,114
7537,Tunisia,14,91,0.5,285,91
7538,South Korea,14,111,0.6098901098901099,289,111
7538,Sweden,14,93,0.510989010989011,371,93
7539,Senegal,14,97,0.532967032967033,286,97
7539,Poland,14,102,0.5604395604395604,482,102
7540,Egypt,14,109,0.5989010989010989,360,109
7540,Russia,14,102,0.5604395604395604,321,102
7541,Japan,14,112,0.6153846153846154,530,112
7541,Colombia,14,108,0.5934065934065934,314,108
7542,Morocco,14,114,0.6263736263736264,382,114
7542,Portugal,14,109,0.5989010989010989,281,109
7543,Spain,14,118,0.6483516483516484,719,118
7543,Iran,14,84,0.46153846153846156,158,84
7544,Saudi Arabia,14,115,0.6318681318681318,499,115
7544,Uruguay,14,116,0.6373626373626373,429,116
7545,Croatia,14,88,0.4835164835164835,274,88
7545,Argentina,14,115,0.6318681318681318,413,115
7546,France,13,91,0.5833333333333334,332,91
7546,Peru,14,110,0.6043956043956044,436,110
7547,Denmark,13,96,0.6153846153846154,396,96
7547,Australia,14,110,0.6043956043956044,442,110
7548,Costa Rica,14,88,0.4835164835164835,205,88
7548,Brazil,14,128,0.7032967032967034,661,128
7549,Nigeria,14,107,0.5879120879120879,413,107
7549,Iceland,14,92,0.5054945054945055,224,92
7550,Switzerland,13,102,0.6538461538461539,467,102
