year,match_id,home_team,away_team,home_score,away_score,winner,dominant_team,pass_leader,home_composite_pct,away_composite_pct,home_passes,away_passes
2018,7577,Morocco,Iran,0,1,Iran,Morocco,Morocco,53.6,46.4,397,144
2018,7525,Russia,Saudi Arabia,5,0,Russia,Russia,Saudi Arabia,61.9,38.1,272,458
2018,7566,Mexico,Sweden,0,3,Sweden,Sweden,Mexico,47.7,52.3,404,152
2018,8651,Sweden,England,0,2,England,Sweden,England,54.7,45.3,291,426
2018,7567,South Korea,Germany,2,0,South Korea,Germany,Germany,47.9,52.1,184,631
2018,7541,Colombia,Japan,1,2,Japan,Colombia,Japan,56.4,43.6,314,530
2018,8655,France,Belgium,1,0,France,France,Belgium,56.8,43.2,301,549
2018,8657,Belgium,England,2,0,Belgium,England,England,47.6,52.4,427,619
2018,8652,Russia,Croatia,2,2,,Russia,Croatia,54.7,45.3,266,607
2018,7563,Denmark,France,0,0,,France,France,41.4,58.6,236,592
2018,7556,Japan,Senegal,2,2,,Senegal,Japan,41.5,58.5,368,285
2018,7559,Saudi Arabia,Egypt,2,1,Saudi Arabia,Egypt,Saudi Arabia,45.4,54.6,589,292
